"","x"
"1",40.3040009
"2",39.0919991
"3",37.8730011
"4",37.257
"5",36.4239998
"6",35.7449989
"7",40.3590012
"8",39.5040016
"9",38.5940018
"10",37.4360008
"11",36.4269981
"12",35.6479988
"13",34.5960007
"14",24.9400005
"15",24.4500008
"16",23.9300003
"17",23.0799999
"18",22.5400009
"19",22.1399994
"20",21.6599998
"21",27.2000008
"22",26.5599995
"23",26.0699997
"24",25.2099991
"25",24.6800003
"26",24.1000004
"27",23.5599995
"28",31.4300003
"29",28.6200008
"30",38.9300003
"31",35.3199997
"32",25.5900002
"33",25.0300007
"34",24.4899998
"35",23.7199993
"36",23.1700001
"37",22.6100006
"38",22.0499992
"39",25.3299999
"40",24.7199993
"41",24.3099995
"42",23.5
"43",23.0200005
"44",22.5
"45",22
"46",41.2389984
"47",34.8880005
"48",38.5960007
"49",37.5275002
"50",41.8670006
"51",38.723999
"52",31.8820839
"53",39.257
"54",72.5699997
"55",71.5100021
"56",70.8199997
"57",70.1399994
"58",69.1500015
"59",68.5
"60",67.5599976
"61",66.9400024
"62",66.0400009
"63",65.1600037
"64",71.8600006
"65",70.4800034
"66",69.4800034
"67",67.8700027
"68",66.6399994
"69",65.4499969
"70",64.0199966
"71",62.6500015
"72",61.3400002
"73",60.0800018
"74",72.8099976
"75",72.3399963
"76",71.8600006
"77",71.4000015
"78",70.9400024
"79",70.4800034
"80",70.0299988
"81",69.5899963
"82",69.1500015
"83",68.7200012
"84",66.8899994
"85",69.0400009
"86",70.0699997
"87",78.9300003
"88",78.9199982
"89",81.5999985
"90",48.0299988
"91",51.6599998
"92",54.7400017
"93",68.0100021
"94",68.3000031
"95",69.1900024
"96",72.8600006
"97",73.1699982
"98",73.3000031
"99",87.2699966
"100",86.4100037
"101",85.5699997
"102",84.75
"103",83.9400024
"104",83.1500015
"105",82.3700027
"106",81.6100006
"107",80.8600006
"108",80.1299973
"109",87.2699966
"110",86.4100037
"111",85.5699997
"112",83.9400024
"113",82.3700027
"114",81.6100006
"115",80.8600006
"116",78.6999969
"117",78
"118",76.6399994
"119",87.6999969
"120",86.6699982
"121",85.6600037
"122",84.75
"123",83.6999969
"124",82.7600021
"125",81.6100006
"126",80.8600006
"127",80.1299973
"128",78.7699966
"129",87.8799973
"130",87.0899963
"131",86.4100037
"132",85.6600037
"133",84.9100037
"134",84.1800003
"135",83.4700012
"136",82.7600021
"137",81.9899979
"138",81.2399979
"139",30.9699993
"140",39.9599991
"141",44.3800011
"142",50.1800003
"143",54.4799995
"144",60.1300011
"145",65.6999969
"146",32.5900002
"147",41.5600014
"148",45.9700012
"149",51.7599983
"150",56.0499992
"151",61.6899986
"152",67.2399979
"153",36.0200005
"154",44.9500008
"155",49.3400002
"156",55.1100006
"157",59.3699989
"158",64.9899979
"159",70.5199966
"160",61.9399986
"161",65.1800003
"162",72.0400009
"163",80.6399994
"164",81.9800034
"165",82.0699997
"166",88.1399994
