"","x"
"1",9.7810001
"2",17.0779991
"3",27.0499992
"4",33.4140015
"5",39.5009995
"6",44.868
"7",1.702
"8",9.7860003
"9",16.5949993
"10",28.3050003
"11",34.7540016
"12",40.8390007
"13",46.7970009
"14",16.8700008
"15",23.4400005
"16",29.5599995
"17",38.7400017
"18",43.8100014
"19",49.7200012
"20",54.4399986
"21",5.8000002
"22",12.5200005
"23",18.8099995
"24",27.9200001
"25",33.8899994
"26",39.9099998
"27",45.4599991
"28",2.3900001
"29",34.2599983
"30",0.47
"31",32.8100014
"32",0.87
"33",8.1000004
"34",14.5200005
"35",25.5400009
"36",32.4300003
"37",38.3699989
"38",43.4900017
"39",0.32
"40",7.9299998
"41",15.46
"42",24.9200001
"43",31.5
"44",37.2599983
"45",41.8300018
"46",1.0075001
"47",0.924
"48",0.8455
"49",0.9185
"50",1.2640001
"51",1.2205
"52",0.9679167
"53",1.438
"54",25.0599995
"55",24.6900005
"56",24.4500008
"57",24.2199993
"58",23.8799992
"59",23.6499996
"60",23.3299999
"61",23.1100006
"62",22.7999992
"63",22.5
"64",24.8099995
"65",24.3400002
"66",23.9899998
"67",23.4400005
"68",23.0100002
"69",22.6000004
"70",22.1000004
"71",21.6299992
"72",21.1800003
"73",20.75
"74",27.0900002
"75",28.8400002
"76",30.5699997
"77",32.2799988
"78",33.9700012
"79",35.6300011
"80",37.2799988
"81",38.9000015
"82",40.5
"83",42.0800018
"84",1.6900001
"85",1.5700001
"86",0.47
"87",0.51
"88",0.6
"89",0.6
"90",53.1699982
"91",49.0099983
"92",42.1699982
"93",24.9899998
"94",24.25
"95",23.5699997
"96",22.6399994
"97",22.9300003
"98",25.3099995
"99",6.29
"100",9.1099997
"101",11.8699999
"102",14.5799999
"103",17.2399998
"104",19.8500004
"105",22.4099998
"106",24.9200001
"107",27.3899994
"108",29.8099995
"109",3.3900001
"110",3.3499999
"111",3.3199999
"112",3.26
"113",3.2
"114",3.1700001
"115",3.1400001
"116",3.05
"117",3.03
"118",2.97
"119",3.4000001
"120",3.3599999
"121",3.3199999
"122",3.29
"123",3.25
"124",3.21
"125",3.1700001
"126",3.1400001
"127",3.1099999
"128",3.0599999
"129",3.4100001
"130",3.3800001
"131",3.3499999
"132",3.3199999
"133",3.29
"134",3.27
"135",3.24
"136",3.21
"137",3.1800001
"138",3.1500001
"139",16.0400009
"140",15.8500004
"141",15.7600002
"142",15.6300001
"143",15.54
"144",15.4200001
"145",15.3100004
"146",10.9250002
"147",10.8000002
"148",10.7299995
"149",10.6499996
"150",10.5900002
"151",10.5
"152",10.4200001
"153",7.6149998
"154",7.52
"155",7.48
"156",7.4200001
"157",7.3800001
"158",7.3200002
"159",7.27
"160",32.0800018
"161",21.8500004
"162",15.2299995
"163",4.73
"164",4.79
"165",4.9099998
"166",3.4200001
