"","PC1","PC2","PC3","PC4"
"Fumarate",-0.0038725,0.15754,-0.08897,0.29876
"4-Oxopentanoate",-0.015218,-0.049167,0.20805,-0.0019421
"Succinate",0.084277,0.087935,0.012823,-0.58957
"Benzoate",-0.085516,-0.082269,-0.026042,-0.026253
"Citraconate",0.095616,0.036968,-0.017066,0.017551
"4-Oxohexanoate",-0.062089,-0.13096,-0.033607,-0.01228
"Malate",-0.015393,0.16398,-0.058568,0.019118
"Glutamate",-0.029158,-0.15871,0.055879,0.05485
"trans-Cinnamate",0.060278,-0.13044,0.049626,0.0013438
"Phosphoenolpyruvate",0.095053,-0.0049433,0.054906,0.043318
"Dihydroxyacetone phosphate",-0.00082526,0.14936,-0.10987,0.017821
"Glycerophosphorate",-0.060781,-0.022621,0.17034,0.020352
"N-Acetylaspartate",0.072155,-0.084409,-0.10328,-0.02526
"Carbamoylaspartate",0.091474,0.012004,0.078542,-0.097385
"3-Phosphoglycerate",0.093574,0.050488,0.017463,-0.0080949
"Azelaate",0.092223,0.051505,0.037363,-0.013843
"N-Acetylglutamate",0.095329,-0.035135,-0.027948,-0.022066
"2-Deoxyribose 1-phosphate",-0.081469,-0.091088,-0.039756,-0.009001
"Pantothenate",0.021381,-0.13269,-0.13204,-0.1006
"Ribulose 5-phosphate",0.049665,0.14305,-0.051988,0.042511
"Ribose 5-phosphate",0.076427,0.092132,-0.072549,-0.032803
"Glucosamine 6-phosphate",0.096361,-0.01559,-0.037451,0.11967
"Glucose 1-phosphate",0.064394,-0.098836,-0.10808,0.088214
"Fructose 6-phosphate",-0.023604,0.15412,-0.08325,0.0064141
"Glucose 6-phosphate",-0.081846,0.066174,-0.087455,0.0074099
"Sorbitol 6-phosphate",-0.028714,0.13393,-0.12268,-0.027458
"Sedoheptulose-7-phosphate",0.048094,0.14766,0.035971,-0.064049
"N-Acetylglucosamine 1-phosphate",-0.085627,-0.083365,-0.01697,0.076533
"Isobutylamine",-0.021003,0.16842,-0.0015251,-0.36551
"Gly",0.092759,0.027355,0.063231,-0.056815
"Isopropanolamine",0.096795,0.028193,0.0091365,0.050083
"Trimethylamine N-oxide",-0.069434,0.12005,0.02719,-0.012175
"Pyridine",-0.07166,-0.11025,-0.053267,0.020646
"Piperidine",-0.058175,0.12436,0.078955,0.070739
"Isoamylamine",-0.069725,0.11907,0.03031,-0.025977
"1,4-Butanediamine",0.097814,0.015326,-0.00034177,0.035373
"Ala",0.094369,0.0054342,0.060467,0.0003335
"beta-Ala",-0.097976,0.011716,-0.00011167,-0.0010754
"GABA",0.093006,0.028629,0.060427,0.075355
"alpha-Aminoisobutyrate",0.098027,0.0092227,0.005914,0.027962
"Ser",0.063813,0.0023731,0.16716,0.035149
"Diethanolamine",0.093441,0.052943,0.0041225,0.048301
"Cytosine",-0.096264,0.015948,-0.03844,-0.010566
"Creatinine ",0.088612,0.07366,-0.012594,-0.014153
"Pro",0.018649,-0.09333,0.18017,0.0062735
"Betaine",0.092052,0.059831,-0.0067445,-0.014862
"Val",0.064788,-0.10638,0.094369,-0.073908
"2,4-Diaminobutyrate",-0.078088,0.065934,0.10352,-0.027494
"Homoserine",-0.094457,-0.04328,0.023928,0.02052
"Thr",0.092852,-0.024616,0.064368,0.04538
"Nicotinamide",-0.077463,0.097487,-0.053019,0.0061364
"Melamine",-0.058649,0.027346,0.17294,0.021657
"5-Oxoproline",0.08772,0.026651,0.092855,0.081374
"N-Acetylputrescine ",-0.071734,0.10718,0.062204,0.0069473
"beta-Guanidinopropionate",-0.071966,0.10321,0.071155,-0.0080982
"Creatine ",-0.083962,0.089254,0.0070817,0.036907
"Ile+Leu",0.023797,-0.0042202,0.21334,-0.20876
"Asn",0.086001,-0.021468,0.1026,-0.029683
"Ornithine",-0.075038,-0.037351,0.13365,-0.0077592
"Asp",0.092813,-0.020964,0.066709,0.0044358
"2-Aminobenzimidazole",-0.067349,0.12531,0.008428,-0.0083941
"Adenine",0.07626,-0.10862,-0.0017335,0.024993
"Hypoxanthine",0.040674,-0.053442,0.18824,0.090459
"Urocanate",0.026346,-0.019496,0.21043,0.057326
"Histidinol ",0.094342,0.037332,0.038237,0.00087137
"gamma-Guanidinobutyrate",0.097186,0.016052,0.024029,0.021357
"Acetylcholine",-0.078302,0.10402,-0.0035771,0.021363
"Spermidine",-0.093036,0.042731,-0.044567,0.037079
"Gln",0.096397,-0.031954,-0.010089,0.045284
